GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
1242,1288422,24933,0.497,0.01,42.333734,-73.249199
1243,48306683,57277,18.651,0.022,42.350122,-73.024112
1244,6345200,70886,2.45,0.027,42.118094,-73.257497
1245,72467556,2047524,27.98,0.791,42.186893,-73.223105
1247,136040953,1474661,52.526,0.569,42.698526,-73.0843
1253,47310468,1044511,18.267,0.403,42.206683,-73.113214
1254,37713371,147088,14.561,0.057,42.382019,-73.365492
1255,134177284,3047020,51.806,1.176,42.107496,-73.118607
1256,92838292,452294,35.845,0.175,42.594166,-73.02232
1257,93848713,2221955,36.235,0.858,42.085244,-73.367483
1258,66839818,399661,25.807,0.154,42.10928,-73.462886
1259,65593266,2042077,25.326,0.788,42.075469,-73.234376
1260,6503634,101867,2.511,0.039,42.295696,-73.342543
1262,31167345,2127674,12.034,0.821,42.292202,-73.319209
1264,29425422,90081,11.361,0.035,42.23159,-73.202428
1266,67473741,780754,26.052,0.301,42.312354,-73.388044
1267,141293381,342648,54.554,0.132,42.671617,-73.246981
1270,82512100,420825,31.858,0.162,42.515272,-73.031166
1301,66020416,1388438,25.491,0.536,42.626761,-72.60153
1330,86313825,631864,33.326,0.244,42.513947,-72.821517
1331,137849398,3581055,53.224,1.383,42.562408,-72.19108
1337,96405833,165258,37.223,0.064,42.689307,-72.582249
1338,8946605,12299,3.454,0.005,42.572604,-72.824306
1339,142392585,630078,54.978,0.243,42.603776,-72.889644
1340,114430582,658619,44.182,0.254,42.694731,-72.710956
1341,92426099,465171,35.686,0.18,42.496937,-72.709414
1342,46190556,2212149,17.834,0.854,42.543889,-72.609458
1343,12615503,76887,4.871,0.03,42.657625,-72.978933
1344,35312083,1342383,13.634,0.518,42.613418,-72.426427
1346,54378856,99658,20.996,0.038,42.693275,-72.823113
1347,1495232,221070,0.577,0.085,42.559294,-72.518753
1349,19904273,545241,7.685,0.211,42.563061,-72.482122
1350,27768018,274112,10.721,0.106,42.727772,-72.985346
1351,54198083,1126547,20.926,0.435,42.53988,-72.521689
1354,35647719,2665398,13.764,1.029,42.624076,-72.508643
1355,122713700,35676864,47.38,13.775,42.458551,-72.327191
1360,88796652,2812786,34.285,1.086,42.677091,-72.453876
1364,101609100,2848740,39.231,1.1,42.605437,-72.292074
1366,104649742,1453531,40.405,0.561,42.475621,-72.192468
1367,68727446,1770116,26.536,0.683,42.695532,-72.909148
1368,108369096,1829133,41.842,0.706,42.679456,-72.176935
1370,129031111,1398420,49.819,0.54,42.593338,-72.726941
1373,62576787,1471554,24.161,0.568,42.475481,-72.615403
1375,36856277,1349179,14.23,0.521,42.466691,-72.546751
1376,7149876,1465717,2.761,0.566,42.59528,-72.555002
1378,88114809,812951,34.021,0.314,42.673533,-72.353213
1379,78241508,954244,30.209,0.368,42.55631,-72.407148
1420,78520252,1778875,30.317,0.687,42.584925,-71.816862
1430,95774697,6783126,36.979,2.619,42.657005,-71.923442
1431,61389139,1002610,23.702,0.387,42.676293,-71.832523
1432,21869299,1238578,8.444,0.478,42.566573,-71.575135
1434,13678210,401234,5.281,0.155,42.538903,-71.612027
1436,24849927,506509,9.595,0.196,42.602059,-72.087015
1438,1403431,48434,0.542,0.019,42.562243,-72.031402
1440,62268799,2487876,24.042,0.961,42.584206,-71.988737
1450,84837114,2592562,32.756,1.001,42.61176,-71.565269
1451,49550972,1682978,19.132,0.65,42.501908,-71.568201
1452,106373488,2406515,41.071,0.929,42.489598,-72.002878
1453,73735855,1369889,28.47,0.529,42.519977,-71.763202
1460,42793834,2580897,16.523,0.996,42.535931,-71.490569
1462,68516675,3332693,26.454,1.287,42.582607,-71.720464
1463,58533399,1546295,22.6,0.597,42.670643,-71.602858
1464,38884886,204034,15.014,0.079,42.573654,-71.640986
1467,4908785,28882,1.895,0.011,42.489646,-71.609577
1468,55425635,688455,21.4,0.266,42.542767,-72.068345
1469,59261477,606711,22.881,0.234,42.664828,-71.695087
1473,91770071,4716242,35.433,1.821,42.5546,-71.90544
1474,25690699,78185,9.919,0.03,42.669685,-71.752751
1475,110986287,2716014,42.852,1.049,42.66816,-72.055644
1501,40033380,2404921,15.457,0.929,42.198708,-71.846006
1503,33598205,523984,12.972,0.202,42.384929,-71.633889
1504,28685116,819186,11.075,0.316,42.039991,-71.532406
1505,41598710,9562390,16.061,3.692,42.355049,-71.716157
1506,40262977,2733266,15.546,1.055,42.180788,-72.107891
1507,109254343,4179133,42.183,1.614,42.133935,-71.968025
1510,14645924,4178500,5.655,1.613,42.411887,-71.690005
1515,25520167,1427831,9.853,0.551,42.209682,-72.040178
1516,95191622,4017484,36.754,1.551,42.053072,-71.752241
1518,22976455,1925340,8.871,0.743,42.127477,-72.118818
1519,28261188,279198,10.912,0.108,42.203404,-71.679739
1520,46830034,1794650,18.081,0.693,42.336372,-71.850626
1521,31841680,1990805,12.294,0.769,42.046799,-72.180144
1522,42419059,1399750,16.378,0.54,42.375634,-71.867382
1523,65237734,1164361,25.188,0.45,42.483569,-71.675585
1524,41375165,2508025,15.975,0.968,42.249603,-71.919217
1525,1162429,81163,0.449,0.031,42.106794,-71.630518
1527,40323294,1862201,15.569,0.719,42.192246,-71.777649
1529,12706298,151539,4.906,0.059,42.036642,-71.578779
1531,53842962,405495,20.789,0.157,42.319125,-72.130814
1532,47852207,705486,18.476,0.272,42.323342,-71.646236
1534,22682367,325730,8.758,0.126,42.142074,-71.643348
1535,55084070,1759511,21.268,0.679,42.267564,-72.066876
1536,21598166,755399,8.339,0.292,42.231309,-71.692642
1537,18085943,295745,6.983,0.114,42.158966,-71.897051
1540,50128324,2048497,19.355,0.791,42.116263,-71.857465
1541,91709832,1032231,35.409,0.399,42.454125,-71.87754
1542,10426625,422662,4.026,0.163,42.204251,-71.908907
1543,90918822,2972193,35.104,1.148,42.388285,-71.969865
1545,53714283,2713826,20.739,1.048,42.284767,-71.714228
1550,52525924,1614229,20.28,0.623,42.059737,-72.033908
1560,9238878,270443,3.567,0.104,42.175395,-71.674223
1561,319275,0,0.123,0,42.44397,-71.685583
1562,85034452,3040753,32.832,1.174,42.247211,-71.991867
1564,79351943,2752967,30.638,1.063,42.447924,-71.776045
1566,73430552,2562228,28.352,0.989,42.103214,-72.079545
1568,55529925,593257,21.44,0.229,42.176526,-71.603588
1569,75315941,1580779,29.08,0.61,42.05593,-71.631232
1570,32062958,5778749,12.38,2.231,42.047532,-71.846952
1571,53915873,2717066,20.817,1.049,42.053778,-71.935075
1581,53313324,2228842,20.584,0.861,42.268426,-71.613309
1583,32672268,2354742,12.615,0.909,42.369417,-71.785036
1585,66174251,1669475,25.55,0.645,42.240796,-72.162645
1588,22307901,1648958,8.613,0.637,42.118794,-71.672494
1590,82903430,4181063,32.009,1.614,42.132051,-71.750318
1602,14936887,631587,5.767,0.244,42.269189,-71.850728
1603,11691786,340401,4.514,0.131,42.243826,-71.843569
1604,16677754,474175,6.439,0.183,42.253254,-71.767957
1605,14612626,341304,5.642,0.132,42.289683,-71.787793
1606,15358057,24032,5.93,0.009,42.315249,-71.795741
1607,8199169,136986,3.166,0.053,42.225974,-71.788894
1608,1159107,0,0.448,0,42.26198,-71.801462
1609,9893463,56960,3.82,0.022,42.285114,-71.829987
1610,5505966,9032,2.126,0.003,42.247049,-71.808366
1611,8915205,647960,3.442,0.25,42.237604,-71.875838
1612,39666695,1982438,15.315,0.765,42.296798,-71.928991
1701,43923161,1816221,16.959,0.701,42.319587,-71.4428
1702,20957505,1972443,8.092,0.762,42.282379,-71.436621
1718,121367,0,0.047,0,42.519816,-71.429283
1719,26640089,316282,10.286,0.122,42.485985,-71.520985
1720,51056431,1114408,19.713,0.43,42.483953,-71.438495
1721,31933899,1395328,12.33,0.539,42.257755,-71.473526
1730,35478061,460817,13.698,0.178,42.499295,-71.281889
1731,2049705,0,0.791,0,42.456748,-71.279484
1740,51675220,348767,19.952,0.135,42.439941,-71.601879
1741,39536102,641957,15.265,0.248,42.53662,-71.361832
1742,63314243,3366492,24.446,1.3,42.462911,-71.364496
1745,1033539,3023,0.399,0.001,42.292114,-71.499197
1746,48291191,1069005,18.645,0.413,42.195951,-71.45343
1747,13392796,443989,5.171,0.171,42.123007,-71.531404
1748,68016796,4215051,26.261,1.627,42.224096,-71.540489
1749,29841353,890273,11.522,0.344,42.389071,-71.545864
1752,54041930,3200311,20.866,1.236,42.349617,-71.547214
1754,13502223,407069,5.213,0.157,42.425955,-71.456256
1756,46035299,552649,17.774,0.213,42.09387,-71.544519
1757,38538175,711614,14.88,0.275,42.158692,-71.521419
1760,38361010,2597329,14.811,1.003,42.284822,-71.348811
1770,40966914,961362,15.817,0.371,42.231947,-71.372963
1772,35264811,3918356,13.616,1.513,42.302877,-71.530828
1773,35274665,1994774,13.62,0.77,42.425506,-71.310812
1775,44839711,1739770,17.313,0.672,42.429688,-71.512514
1776,62778391,1244111,24.239,0.48,42.383367,-71.42107
1778,39388862,2080223,15.208,0.803,42.343687,-71.381186
1801,32773526,802757,12.654,0.31,42.488769,-71.154438
1803,30292991,323493,11.696,0.125,42.503227,-71.201713
1810,79898671,3424061,30.849,1.322,42.648044,-71.161751
1821,42910571,1026151,16.568,0.396,42.54933,-71.251725
1824,45972895,1008271,17.75,0.389,42.59079,-71.355182
1826,53423764,1704152,20.627,0.658,42.679723,-71.30068
1827,42620557,784743,16.456,0.303,42.676149,-71.499772
1830,35735940,3350977,13.798,1.294,42.796313,-71.053436
1832,29420969,1250808,11.36,0.483,42.791114,-71.132859
1833,33307270,750792,12.86,0.29,42.727879,-70.982036
1834,23008826,1330578,8.884,0.514,42.7539,-71.015935
1835,20229136,2293289,7.811,0.885,42.751233,-71.0943
1840,1290418,200629,0.498,0.077,42.706763,-71.160403
1841,8000211,462412,3.089,0.179,42.712015,-71.164873
1843,8726312,579700,3.369,0.224,42.689974,-71.160383
1844,57547787,2037951,22.219,0.787,42.742468,-71.179218
1845,68133546,3720507,26.307,1.436,42.673909,-71.091334
1850,3521755,305883,1.36,0.118,42.656045,-71.303309
1851,8645547,115440,3.338,0.045,42.627812,-71.33533
1852,12828768,627328,4.953,0.242,42.631912,-71.296025
1854,10187867,1393285,3.934,0.538,42.649481,-71.348229
1860,21907318,1027094,8.458,0.397,42.838603,-71.011997
1862,23934204,1075784,9.241,0.415,42.578543,-71.295592
1863,11965478,841571,4.62,0.325,42.63378,-71.38947
1864,34031610,924521,13.14,0.357,42.578222,-71.084398
1867,25733369,47889,9.936,0.018,42.535183,-71.105423
1876,52988334,928654,20.459,0.359,42.611801,-71.227571
1879,43465168,3638881,16.782,1.405,42.667762,-71.42882
1880,17890499,1398521,6.908,0.54,42.501524,-71.067489
1886,78391633,2853998,30.267,1.102,42.585541,-71.44025
1887,43971834,464439,16.978,0.179,42.564647,-71.164516
1890,15621386,812592,6.031,0.314,42.452752,-71.144319
1901,641319,68752,0.248,0.027,42.460419,-70.946379
1902,6223893,235635,2.403,0.091,42.471039,-70.941535
1904,11708214,1303900,4.521,0.503,42.492456,-70.97393
1905,9219343,1195151,3.56,0.461,42.465998,-70.975792
1906,27987365,2592073,10.806,1.001,42.468432,-71.013946
1907,7864231,1107035,3.036,0.427,42.474145,-70.906597
1908,2708928,3559697,1.046,1.374,42.428256,-70.926041
1913,31761143,3785529,12.263,1.462,42.851293,-70.95581
1915,39091355,3958103,15.093,1.528,42.570665,-70.867583
1921,61010480,2188506,23.556,0.845,42.683108,-71.01833
1922,24831877,776281,9.588,0.3,42.757313,-70.914241
1923,34194563,2348714,13.203,0.907,42.574174,-70.950516
1929,36187051,5125496,13.972,1.979,42.64042,-70.771172
1930,67840398,13979427,26.193,5.397,42.61991,-70.681824
1937,189212,0,0.073,0,42.585723,-70.984051
1938,78817260,13930874,30.432,5.379,42.68386,-70.842666
1940,27320420,1710875,10.548,0.661,42.534146,-71.038333
1944,23902795,3207911,9.229,1.239,42.576636,-70.767154
1945,11359729,8556721,4.386,3.304,42.501835,-70.859126
1949,34846424,2668492,13.454,1.03,42.606666,-71.010316
1950,21621497,5985742,8.348,2.311,42.812358,-70.891095
1951,35652344,6826519,13.765,2.636,42.773351,-70.850211
1952,39895046,6104838,15.404,2.357,42.844793,-70.841476
1960,41432509,1461218,15.997,0.564,42.534279,-70.969782
1966,18108067,4166183,6.992,1.609,42.640715,-70.620248
1969,45304090,4366198,17.492,1.686,42.720873,-70.89122
1970,21002244,14198447,8.109,5.482,42.524435,-70.870859
1982,36737722,1888000,14.185,0.729,42.626223,-70.85723
1983,30880662,2324554,11.923,0.898,42.641379,-70.94344
1984,19840016,1248395,7.66,0.482,42.600633,-70.883303
1985,34838129,3299749,13.451,1.274,42.799565,-70.964428
2019,47523266,1424302,18.349,0.55,42.076682,-71.47449
2021,48682868,2114266,18.797,0.816,42.175737,-71.125385
2025,25353980,2759152,9.789,1.065,42.236423,-70.814436
2026,26532287,1037910,10.244,0.401,42.246872,-71.179462
2030,39156783,816010,15.119,0.315,42.23416,-71.291167
2032,6059763,155224,2.34,0.06,42.156882,-71.216187
2035,51406166,2593190,19.848,1.001,42.061338,-71.245802
2038,68961368,1038181,26.626,0.401,42.084858,-71.410571
2043,57385883,2271260,22.157,0.877,42.216098,-70.88127
2045,6884306,14237690,2.658,5.497,42.292253,-70.923919
2047,619345,21837,0.239,0.008,42.133914,-70.686037
2048,52060790,830921,20.101,0.321,42.017302,-71.21641
2050,75313203,10898331,29.079,4.208,42.115139,-70.710331
2052,37301547,605137,14.402,0.234,42.184599,-71.305307
2053,29895568,335632,11.543,0.13,42.156203,-71.430345
2054,31135995,602474,12.022,0.233,42.173091,-71.363751
2056,38510397,1290267,14.869,0.498,42.113655,-71.334163
2061,54237721,812574,20.941,0.314,42.164569,-70.818844
2062,26828064,419976,10.358,0.162,42.18736,-71.195955
2066,43839730,5682337,16.927,2.194,42.202273,-70.758184
2067,58720810,2471501,22.672,0.954,42.1076,-71.181828
2071,2513156,33452,0.97,0.013,42.103425,-71.273589
2072,41680247,969264,16.093,0.374,42.119006,-71.10365
2081,46413446,1423867,17.92,0.55,42.146694,-71.270532
2090,28218221,738121,10.895,0.285,42.219645,-71.216769
2093,56219308,2343984,21.706,0.905,42.052671,-71.356858
2108,355280,0,0.137,0,42.357768,-71.064858
2109,451252,292691,0.174,0.113,42.367032,-71.050493
