GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  
1368,108369098,1829133,41.842,0.706,42.679456,-72.176935
1370,129031105,1398420,49.819,0.54,42.593338,-72.726941
1373,62576789,1471554,24.161,0.568,42.473862,-72.615612
1375,36856278,1349179,14.23,0.521,42.466762,-72.546855
1376,7149878,1465717,2.761,0.566,42.59528,-72.555002
1378,88114810,812951,34.021,0.314,42.673533,-72.353213
1379,78241507,954244,30.209,0.368,42.55631,-72.407148
1420,78520254,1778875,30.317,0.687,42.584925,-71.816862
1430,95774699,6783126,36.979,2.619,42.657005,-71.923442
1431,61389140,1002610,23.702,0.387,42.676293,-71.832523
1432,21869300,1238578,8.444,0.478,42.566573,-71.575135
1434,13678206,401234,5.281,0.155,42.538903,-71.612027
1436,24849930,506509,9.595,0.196,42.603374,-72.088395
1438,1403431,48435,0.542,0.019,42.562243,-72.031402
1440,62268797,2487876,24.042,0.961,42.586516,-71.988062
1450,84837111,2592563,32.756,1.001,42.61176,-71.565269
1451,49550971,1682978,19.132,0.65,42.501908,-71.568201
1452,106373488,2406515,41.071,0.929,42.489598,-72.002878
1453,73735856,1369889,28.47,0.529,42.51996,-71.763075
1460,42793828,2580898,16.523,0.996,42.535931,-71.490569
1462,68563689,3285680,26.473,1.269,42.582607,-71.720464
1463,58533400,1546295,22.6,0.597,42.670643,-71.602858
1464,38884886,204034,15.014,0.079,42.573654,-71.640986
1467,4908783,28882,1.895,0.011,42.492367,-71.609303
1468,55425633,688455,21.4,0.266,42.542767,-72.068345
1469,59261476,606711,22.881,0.234,42.665059,-71.695333
1473,91770071,4716242,35.433,1.821,42.5546,-71.90544
1474,25690699,78185,9.919,0.03,42.669685,-71.752751
1475,110986289,2716014,42.852,1.049,42.66816,-72.055644
1501,40033380,2404921,15.457,0.929,42.198708,-71.846006
1503,33598202,523984,12.972,0.202,42.384929,-71.633889
1504,28685119,819187,11.075,0.316,42.039991,-71.532406
1505,41598710,9562391,16.061,3.692,42.355049,-71.716157
1506,40262976,2733266,15.546,1.055,42.180788,-72.107891
1507,109254347,4179132,42.183,1.614,42.133935,-71.968025
1510,14645927,4178500,5.655,1.613,42.411887,-71.690005
1515,25520170,1427831,9.853,0.551,42.209682,-72.040178
1516,95191620,4017483,36.754,1.551,42.053072,-71.752241
1518,22976456,1925341,8.871,0.743,42.127477,-72.118818
1519,28261188,279199,10.912,0.108,42.203404,-71.679739
1520,46830033,1794650,18.081,0.693,42.336372,-71.850626
1521,31841680,1990805,12.294,0.769,42.046798,-72.180149
1522,42419059,1399750,16.378,0.54,42.375634,-71.867382
1523,65237736,1164361,25.188,0.45,42.482819,-71.675519
1524,41375167,2508025,15.975,0.968,42.249603,-71.919217
1525,1162429,81163,0.449,0.031,42.106794,-71.630518
1527,40323292,1862203,15.569,0.719,42.192246,-71.777649
1529,12706298,151539,4.906,0.059,42.036642,-71.578779
1531,53842961,405495,20.789,0.157,42.319125,-72.130814
1532,47852206,705487,18.476,0.272,42.323342,-71.646236
1534,22682366,325730,8.758,0.126,42.142074,-71.643348
1535,55084070,1759511,21.268,0.679,42.267564,-72.066876
1536,21598166,755399,8.339,0.292,42.231309,-71.692642
1537,18085942,295745,6.983,0.114,42.158966,-71.897051
1540,50128328,2048497,19.355,0.791,42.116263,-71.857465
1541,91709833,1032231,35.409,0.399,42.454125,-71.87754
1542,10426624,422662,4.026,0.163,42.204251,-71.908907
1543,90918824,2972193,35.104,1.148,42.388285,-71.969865
1545,53714282,2713826,20.739,1.048,42.284767,-71.714228
1550,52525927,1614228,20.28,0.623,42.059669,-72.03404
1560,9238878,270443,3.567,0.104,42.175395,-71.674223
1561,319275,0,0.123,0,42.44397,-71.685583
1562,85034449,3040753,32.832,1.174,42.247211,-71.991867
1564,79351942,2752967,30.638,1.063,42.447924,-71.776045
1566,73430553,2562228,28.352,0.989,42.103214,-72.079545
1568,55529924,593257,21.44,0.229,42.176526,-71.603588
1569,75315941,1580778,29.08,0.61,42.055892,-71.631294
1570,32062958,5778748,12.38,2.231,42.047532,-71.846952
1571,53915871,2717066,20.817,1.049,42.053778,-71.935075
1581,53313328,2228841,20.584,0.861,42.268426,-71.613309
1583,32672268,2354742,12.615,0.909,42.369417,-71.785036
1585,66174249,1669475,25.55,0.645,42.240796,-72.162645
1588,22307898,1648958,8.613,0.637,42.119228,-71.671822
1590,82903434,4181066,32.009,1.614,42.132051,-71.750318
1602,14936887,631587,5.767,0.244,42.271563,-71.849991
1603,11691787,340400,4.514,0.131,42.243826,-71.843569
1604,16677756,474175,6.439,0.183,42.253254,-71.767957
1605,14612627,341304,5.642,0.132,42.289683,-71.787793
1606,15358058,24032,5.93,0.009,42.315249,-71.795741
1607,8199168,136986,3.166,0.053,42.225974,-71.788894
1608,1159105,0,0.448,0,42.26198,-71.801462
1609,9893465,56960,3.82,0.022,42.285114,-71.829987
1610,5505967,9032,2.126,0.003,42.247049,-71.808366
1611,8915204,647961,3.442,0.25,42.237604,-71.875838
1612,39666696,1982438,15.315,0.765,42.296667,-71.929545
1701,43923162,1816220,16.959,0.701,42.320169,-71.440409
1702,20957507,1972445,8.092,0.762,42.282379,-71.436621
1718,121366,0,0.047,0,42.519816,-71.429283
1719,26640091,316281,10.286,0.122,42.485985,-71.520985
1720,51056434,1114408,19.713,0.43,42.483953,-71.438495
1721,31933899,1395328,12.33,0.539,42.257755,-71.473526
1730,35478053,460816,13.698,0.178,42.499295,-71.281889
1731,2049705,0,0.791,0,42.456748,-71.279484
1740,51675212,348776,19.952,0.135,42.439941,-71.601879
1741,39536103,641958,15.265,0.248,42.53662,-71.361832
1742,63314239,3366492,24.446,1.3,42.462911,-71.364496
1745,1033541,3023,0.399,0.001,42.293073,-71.499163
1746,48291189,1069005,18.645,0.413,42.195951,-71.45343
1747,13392794,443992,5.171,0.171,42.12408,-71.533416
1748,68016799,4215051,26.261,1.627,42.224104,-71.540484
1749,29841356,890272,11.522,0.344,42.389071,-71.545864
1752,54041927,3200312,20.866,1.236,42.349617,-71.547214
1754,13502221,407068,5.213,0.157,42.425955,-71.456256
1756,46035302,552649,17.774,0.213,42.094127,-71.544424
1757,38538174,711614,14.88,0.275,42.158692,-71.521419
1760,38361014,2597332,14.811,1.003,42.284822,-71.348811
1770,40966915,961362,15.817,0.371,42.23357,-71.37469
1772,35264813,3918356,13.616,1.513,42.302877,-71.530828
1773,35274672,1994774,13.62,0.77,42.425506,-71.310812
1775,44839710,1739770,17.313,0.672,42.429688,-71.512514
1776,62778394,1244110,24.239,0.48,42.383367,-71.42107
1778,39388855,2080221,15.208,0.803,42.343687,-71.381186
1801,32773526,802757,12.654,0.31,42.488659,-71.154425
1803,30292990,323494,11.696,0.125,42.503227,-71.201713
1810,79898667,3424062,30.849,1.322,42.648044,-71.161751
1821,42910571,1026151,16.568,0.396,42.54933,-71.251725
1824,45972894,1008272,17.75,0.389,42.59079,-71.355182
1826,53423769,1704152,20.627,0.658,42.679723,-71.30068
